experiment,game,method,trajectory_id,init_p1,init_p2,step,coop_p1,coop_p2,success
trajectory,stag_hunt,standard_pg,0,0.08,0.08,110,0.012092556453065175,0.012088305904803011,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,112,0.011930173072784885,0.011926664175264912,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,114,0.011774721122313566,0.0117688631817329,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,116,0.011621952908793974,0.011616836118229671,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,118,0.01147344714105752,0.01146989878719089,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,120,0.01132948948243315,0.011327422827151592,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,122,0.011189866135802593,0.011187578133789781,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,124,0.011054556263788227,0.011051532230412945,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,126,0.01092241989238566,0.010919981515168828,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,128,0.010794091883159329,0.010791210767977557,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,130,0.01066851311814921,0.010666915344585656,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,132,0.01054764968219688,0.01054442857756566,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,134,0.010428645125785988,0.010425496007038135,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,136,0.010312968783553231,0.010309439057568832,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,138,0.010199602817000244,0.010196807807424114,0
trajectory,stag_hunt,standard_pg,0,0.08,0.08,139,0.010144414112221735,0.010141216003685486,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,0,0.07791297538515883,0.2568165659714665,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,2,0.07011638346836713,0.19591353218046628,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,4,0.06606115833665663,0.16117267239420288,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,6,0.06031231831114035,0.13212810895239283,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,8,0.05524509811092839,0.11121102408297302,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,10,0.05211886923426543,0.09820454456191774,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,12,0.04893614481140706,0.08700106149592711,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,14,0.04582726019556754,0.07787520823221478,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,16,0.04319185459460012,0.0705485168284411,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,18,0.04056649451152537,0.06410214999995033,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,20,0.03816730149006365,0.058566473125015325,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,22,0.036211042084192395,0.05417307760432982,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,24,0.0348675453643705,0.050951317457791606,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,26,0.03316016936624138,0.04747326440084684,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,28,0.03172866030427238,0.044652797990038164,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,30,0.03044671126334786,0.04216971315721312,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,32,0.029378530391692588,0.04012152449571463,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,34,0.028721586216058033,0.03869277354867813,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,36,0.027708653019905303,0.03687357151020981,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,38,0.026771627511241156,0.035242589801354716,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,40,0.025814529452528667,0.03365131185142388,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,42,0.025017920514073266,0.03232837344565721,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,44,0.02429362230451568,0.03108336094838777,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,46,0.02352989011292352,0.029858972418642632,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,48,0.022826089028250427,0.028722019832147623,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,50,0.022304082651596148,0.027869527591347986,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,52,0.021671218543063288,0.026906933891673625,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,54,0.021077107061197385,0.026014204486209665,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,56,0.02052396454989142,0.025173026216617846,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,58,0.01999958154407616,0.024389645338063932,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,60,0.019635687534629957,0.02380973627779292,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,62,0.019219121201139125,0.02319654809653284,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,64,0.01876585008340476,0.022545014631072387,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,66,0.018332186248281847,0.02193663886906288,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,68,0.017925532560484292,0.021359435522790463,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,70,0.017537507631466255,0.020813115016678246,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,72,0.017165617425994956,0.02030354797924396,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,74,0.016814531399582403,0.019815249124402693,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,76,0.016476273688097065,0.019357115809418075,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,78,0.01615409303323764,0.018919082885357062,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,80,0.01584704925262227,0.01850091013332795,0
trajectory,stag_hunt,standard_pg,1,0.08,0.29000000000000004,82,0.01555370218314173,0.018099954097922113,0
