experiment,game,method,seed,success,final_reward_mean,final_coop_min,final_coop_mean
ablation,stag_hunt,standard_pg,0,0,1.9930932302908644,0.007053291157099102,0.007056136888196007
ablation,stag_hunt,standard_pg,1,0,1.9930058833179154,0.0069797916709365354,0.007147283506089259
ablation,stag_hunt,standard_pg,2,1,3.8989502196359975,0.9783126099294408,0.9795397750035272
ablation,stag_hunt,standard_pg,3,1,3.9246834733162466,0.9839677002374363,0.9847984566039606
ablation,stag_hunt,standard_pg,4,1,3.9260504884015655,0.9847390832720068,0.9850765402154619
ablation,stag_hunt,standard_pg,5,1,3.937392579738024,0.9860885596662344,0.9873840251939812
ablation,stag_hunt,standard_pg,6,0,1.9916733906891837,0.008529383904452131,0.008545695233720596
ablation,stag_hunt,standard_pg,7,0,1.9927566513511237,0.00739776014430458,0.007407982970428222
ablation,stag_hunt,standard_pg,8,0,1.9930309828031172,0.006986911318206094,0.007121093082723594
ablation,stag_hunt,standard_pg,9,0,1.9930455822066069,0.006933296430501088,0.007105805949360463
ablation,stag_hunt,standard_pg,10,1,3.9206338286925217,0.9827309379851636,0.9839735846475104
ablation,stag_hunt,standard_pg,11,0,1.9932253005026803,0.006632781624756904,0.00691803293131219
ablation,stag_hunt,standard_pg,12,0,1.9923224716319403,0.007840655865504314,0.007863007531594659
ablation,stag_hunt,standard_pg,13,1,3.934752097016113,0.9846239000081851,0.986849632433846
ablation,stag_hunt,standard_pg,14,0,1.9934764251869335,0.006484184296000245,0.0066564091782823215
ablation,stag_hunt,standard_pg,15,0,1.9933546919353273,0.006539650930389258,0.006783164114888206
ablation,stag_hunt,standard_pg,16,0,1.9926117002873567,0.007453905237560302,0.007559713951266651
ablation,stag_hunt,standard_pg,17,0,1.9924997916638818,0.007596398126733958,0.007676997729653495
ablation,stag_hunt,standard_pg,18,0,1.9919732218066324,0.008200765357450677,0.008229973000894838
ablation,stag_hunt,standard_pg,19,0,1.992884336155516,0.007245511701005299,0.00727441257357472
ablation,stag_hunt,meta_pg,0,0,1.9930834631048948,0.007062941136811276,0.007066336181621162
ablation,stag_hunt,meta_pg,1,0,1.9929992060989088,0.006985695972128763,0.007154258922893413
ablation,stag_hunt,meta_pg,2,1,3.8982810180105076,0.978266935393364,0.9794024210433736
ablation,stag_hunt,meta_pg,3,1,3.9246548855869174,0.983963474965901,0.9847926311774952
ablation,stag_hunt,meta_pg,4,1,3.9258620507441444,0.9846687956450833,0.9850381783507403
ablation,stag_hunt,meta_pg,5,1,3.937326380707121,0.9860665614013392,0.9873705953266696
ablation,stag_hunt,meta_pg,6,0,1.9916525223303168,0.008550818856265784,0.008567692900389414
ablation,stag_hunt,meta_pg,7,0,1.9927490366406158,0.007405858564638608,0.007415952089947775
ablation,stag_hunt,meta_pg,8,0,1.9930241779469051,0.006993249941436909,0.00712820117349937
ablation,stag_hunt,meta_pg,9,0,1.9930359763106447,0.006943088827029157,0.007115839684004938
ablation,stag_hunt,meta_pg,10,1,3.9206066339808876,0.9827247359698744,0.9839680400349846
ablation,stag_hunt,meta_pg,11,0,1.9932191527595962,0.006637556103800897,0.006924444104706089
ablation,stag_hunt,meta_pg,12,0,1.992320584644859,0.007841572570738285,0.007864987810078727
ablation,stag_hunt,meta_pg,13,1,3.9347311253916337,0.9846188027812515,0.9868453731226485
ablation,stag_hunt,meta_pg,14,0,1.9934702778528015,0.006488876009199884,0.006662810519617565
ablation,stag_hunt,meta_pg,15,0,1.993348243699652,0.006544408515948397,0.0067898830631206815
ablation,stag_hunt,meta_pg,16,0,1.9926018395683798,0.00746415180203181,0.007570043466751792
ablation,stag_hunt,meta_pg,17,0,1.9924916381487312,0.007603776122530119,0.007685544579476426
ablation,stag_hunt,meta_pg,18,0,1.9919650237272406,0.008209181144134563,0.008238597124604369
ablation,stag_hunt,meta_pg,19,0,1.992871323459609,0.007259289959111792,0.007288019760264825
ablation,stag_hunt,lola_style,0,0,1.9929528563993322,0.00719809382158913,0.00720278381890538
ablation,stag_hunt,lola_style,1,0,1.992979491444392,0.007017563793930733,0.007174870624736379
ablation,stag_hunt,lola_style,2,1,3.9119325830261102,0.9801446713650651,0.9821989215347626
ablation,stag_hunt,lola_style,3,1,3.9268199362422855,0.9845932401770745,0.9852334016768829
ablation,stag_hunt,lola_style,4,1,3.9300649041433235,0.9850119963429375,0.9858940611450663
ablation,stag_hunt,lola_style,5,1,3.9381691703119213,0.9862655047011502,0.9875416854844787
ablation,stag_hunt,lola_style,6,1,3.9189453688562175,0.9834770695584543,0.9836282673089143
ablation,stag_hunt,lola_style,7,0,1.9925768029731707,0.007591397323698689,0.007596308670728285
ablation,stag_hunt,lola_style,8,0,1.9929870053839944,0.007048443844166414,0.007167052329363259
ablation,stag_hunt,lola_style,9,0,1.9929676970794838,0.007042025405203556,0.007187207543788569
ablation,stag_hunt,lola_style,10,1,3.9255006098479885,0.984410088144958,0.9849646698138095
ablation,stag_hunt,lola_style,11,0,1.9932025361785282,0.0066676043906258795,0.006941804201582143
ablation,stag_hunt,lola_style,12,0,1.9916870005318268,0.008524485328259295,0.008531351185925837
