game,method,seed,step,reward_p1,reward_p2,coop_p1,coop_p2,base_norm,own_norm,peer_norm,lr_step,lambda_step
stag_hunt,standard_pg,1000,0,1.9355530749452488,2.0709414865822975,0.36060634753240645,0.31547687698672355,0.35321692526078086,0.012487807070727825,0.04900750482259276,0.5178959436034413,1.5
stag_hunt,standard_pg,1000,10,1.9101525058011184,1.9244764705368933,0.1541664210107443,0.14939176609881935,0.32803638213628383,0.028019511277838253,0.004507447741694721,0.4385259625377816,1.5
stag_hunt,standard_pg,1000,20,1.9370184198531737,1.9423569435842591,0.07995240618119914,0.07817289827083733,0.22889644218613014,0.016958162699673568,0.00015192830295258854,0.3978628674337284,1.5
stag_hunt,standard_pg,1000,30,1.9543935898250546,1.9566570145370643,0.05323256543533355,0.05247809053133038,0.12849517261259183,0.005721938465206031,0.0006491314890655252,0.3713198031281318,1.5
stag_hunt,standard_pg,1000,40,1.9641096712690829,1.965838876935817,0.04005877282601019,0.03948237093709881,0.09100364244331381,0.0029634831799742515,0.0006889759732653454,0.3519570819976834,1.5
stag_hunt,standard_pg,1000,50,1.9705636251133272,1.9714043905230834,0.03224899988776603,0.03196874475118068,0.09084960643092602,0.0030004804592753125,8.05973824125729e-05,0.3368885179626231,1.5
stag_hunt,standard_pg,1000,60,1.9749646022134033,1.9755413180865722,0.027017397026801348,0.026825158402411692,0.0319799954279744,0.000376734810107999,0.0016160890377605451,0.32465267067212744,1.5
stag_hunt,standard_pg,1000,70,1.978339208788133,1.9787102167060788,0.02313409851438097,0.023010429208399033,0.06574569253490407,0.0016024690084061606,7.801496861281798e-08,0.31441330268612205,1.5
stag_hunt,standard_pg,1000,80,1.9807252851321289,1.9810708968513902,0.020401071234718522,0.020285867328298145,0.057678353416044915,0.0012405490087567302,5.0801419072259074e-06,0.30564993458183315,1.5
stag_hunt,standard_pg,1000,90,1.9826970293682442,1.9829491072397882,0.01820906468209681,0.01812503872491545,0.051433413550867,0.0009914362320619255,5.60673363355908e-07,0.298018009334332,1.5
stag_hunt,standard_pg,1000,100,1.984277909835732,1.9844516403212926,0.016475659772899078,0.016417749611045532,0.046592621384848244,0.0008162417186694155,2.505498353376636e-06,0.29127838971160114,1.5
stag_hunt,standard_pg,1000,110,1.9855744596026066,1.9856858003529396,0.015067871390570963,0.015030757807126614,0.042719594182172735,0.0006882238930845689,3.8855989322345186e-07,0.28525877337361016,1.5
stag_hunt,standard_pg,1000,120,1.9866466630555217,1.9867301812092786,0.013904327244520188,0.013876487859934556,0.03928122593485322,0.0005833213933957756,2.524537117263009e-06,0.2798311806860547,1.5
stag_hunt,standard_pg,1000,130,1.987554443304229,1.9876202440783375,0.0129238504352572,0.01290191684388763,0.03646129249763166,0.0005038274586366937,1.1218880592584234e-06,0.2748981270375992,1.5
stag_hunt,standard_pg,1000,140,1.9883337927797975,1.9883871176079704,0.012086002136415464,0.012068227193691152,0.034183607518718004,0.00044365756499821425,1.0251807695092392e-05,0.270383762581522,1.5
stag_hunt,standard_pg,1000,150,1.9890121561283516,1.98905434669807,0.011360482747970427,0.011346419224730989,0.03195698005217177,0.0003881044928832927,1.5266804470289977e-05,0.2662279901938942,1.5
stag_hunt,standard_pg,1000,160,1.9896093811730455,1.989640601399611,0.01072495096924493,0.01071454422705646,0.030340689104191212,0.00035030261708210534,2.330098194434034e-07,0.26238244113698533,1.5
stag_hunt,standard_pg,1000,170,1.9901352802225578,1.9901651987028175,0.010164387145823215,0.010154414319069997,0.028744304764579516,0.00031477436045396033,3.712582321957487e-07,0.25880764933108025,1.5
stag_hunt,standard_pg,1000,180,1.9906048386402617,1.9906327539410895,0.009665873781571825,0.00965656868129591,0.02738063783690055,0.00028594338681904255,2.262041844066102e-06,0.25547102190393156,1.5
stag_hunt,standard_pg,1000,190,1.9910216965396081,1.9910576450825332,0.009221073730833572,0.00920909088319189,0.02595394115310965,0.00025712406892687133,8.270401811151968e-06,0.2523453524034575,1.5
stag_hunt,standard_pg,1000,200,1.9914034660037319,1.9914370537503727,0.008818330765321512,0.008807134849774566,0.025035498887526188,0.00023944372115371491,2.1576008022397667e-06,0.24940771224216296,1.5
stag_hunt,standard_pg,1000,210,1.9917513364475028,1.991781601183293,0.008452661972938657,0.008442573727675274,0.023969475469417172,0.00021965667132966592,5.878995376830559e-07,0.24663861108080362,1.5
stag_hunt,standard_pg,1000,220,1.992066008384499,1.992099046003776,0.008120540317570604,0.008109527777811605,0.022975719306875753,0.0002019555320626997,2.0198877790643874e-07,0.24402135188322105,1.5
stag_hunt,standard_pg,1000,230,1.9923583410990975,1.9923868991438916,0.00781514588286284,0.007805626534598153,0.022110182495582758,0.00018717439857569957,1.8338361024116057e-06,0.24154152916438887,1.5
stag_hunt,standard_pg,1000,240,1.992628111427197,1.9926513135083794,0.0075342756642198,0.00752654163715904,0.021291975627679195,0.00017364627589537099,4.1297410949852505e-07,0.2391866341072862,1.5
stag_hunt,standard_pg,1000,250,1.9928760399553713,1.9928968016766941,0.007275695656757991,0.007268775082983706,0.02051885030791929,0.00016136310834299173,1.650659865833238e-06,0.2369457404987882,1.5
stag_hunt,standard_pg,1000,259,1.9930846930975736,1.9931017674841551,0.007058982619292913,0.007053291157099102,0.01994534586173458,0.00015252391309894528,4.797451391418647e-07,0.2350184524722088,1.5
stag_hunt,standard_pg,1037,0,1.0938186954370441,2.6950329757911557,0.6861331752747318,0.15239508182336134,0.34500080162860775,0.02798519203170626,0.014909330154891452,0.5178959436034413,1.5
stag_hunt,standard_pg,1037,10,1.647104380502277,2.148024932889839,0.2747034198293356,0.10772990236681484,0.4423505940966141,0.03661458302966924,0.004415222717048635,0.4385259625377816,1.5
stag_hunt,standard_pg,1037,20,1.8660342297486818,2.0017549092427074,0.11020262347621458,0.06496239697820612,0.23660134760746218,0.01859484498627446,0.0006537679877875505,0.3978628674337284,1.5
stag_hunt,standard_pg,1037,30,1.9240067942156314,1.9824193530830667,0.0656008558337879,0.04613000287797613,0.13936639612521937,0.007069657861479877,0.0007622808022835682,0.3713198031281318,1.5
stag_hunt,standard_pg,1037,40,1.9481175163744229,1.9799057973766663,0.04622795394609162,0.03563186027867714,0.11741620313834597,0.0050201683428096906,3.494478025021689e-05,0.3519570819976834,1.5
stag_hunt,standard_pg,1037,50,1.960717677770925,1.9808445956723726,0.0356730630699316,0.028964090436115746,0.09232622138492097,0.0031473137058738573,2.076963317566311e-05,0.3368885179626231,1.5
stag_hunt,standard_pg,1037,60,1.9681947264061124,1.982158941230722,0.029320109469637163,0.02466537119476737,0.07709793023545838,0.002211745587252929,2.169819391399691e-06,0.32465267067212744,1.5
stag_hunt,standard_pg,1037,70,1.9732069064232305,1.9835867653473238,0.024940322653603627,0.021480369678905795,0.06579722830234884,0.0016146404983359043,4.54779293682439e-06,0.31441330268612205,1.5
stag_hunt,standard_pg,1037,80,1.9766360721170813,1.9848124445045943,0.021897990225546487,0.019172532763042115,0.05796050970686385,0.0012581971721094779,2.4709956387450436e-05,0.30564993458183315,1.5
stag_hunt,standard_pg,1037,90,1.9793457685597526,1.9858957663405354,0.01948192891864378,0.017298596325049556,0.052127777649966504,0.0010248835196494538,1.018054157739312e-05,0.298018009334332,1.5
