experiment,batch_size,bias_norm_to_reference,variance_trace
estimator_sanity,48,0.04646354588474794,0.1272422013591608
estimator_sanity,96,0.024306547152817534,0.046406884536895524
estimator_sanity,192,0.012226965598963148,0.02296571065362152
estimator_sanity,384,0.0033358799992693816,0.014803984291765456
estimator_sanity,768,0.011993882516469063,0.006165987888183377
