experiment,game,method,init_p1,init_p2,success,final_coop_min
basin,stag_hunt,standard_pg,0.185,0.5900000000000001,0,0.014349737534819756
basin,stag_hunt,standard_pg,0.185,0.635,0,0.013810862979861026
basin,stag_hunt,standard_pg,0.185,0.68,0,0.014417745733385518
basin,stag_hunt,standard_pg,0.185,0.725,0,0.01522698831031476
basin,stag_hunt,standard_pg,0.185,0.77,0,0.014685946605066794
basin,stag_hunt,standard_pg,0.185,0.8150000000000001,0,0.015638913647030767
basin,stag_hunt,standard_pg,0.185,0.86,0,0.01677073871520516
basin,stag_hunt,standard_pg,0.185,0.905,0,0.021370529587918522
basin,stag_hunt,standard_pg,0.185,0.95,1,0.9452348048995566
basin,stag_hunt,standard_pg,0.22999999999999998,0.05,0,0.010305391138761633
basin,stag_hunt,standard_pg,0.22999999999999998,0.095,0,0.011877649673408215
basin,stag_hunt,standard_pg,0.22999999999999998,0.14,0,0.012292428070674913
basin,stag_hunt,standard_pg,0.22999999999999998,0.185,0,0.012940799848620465
basin,stag_hunt,standard_pg,0.22999999999999998,0.22999999999999998,0,0.013489855074364445
basin,stag_hunt,standard_pg,0.22999999999999998,0.27499999999999997,0,0.013412103581335115
basin,stag_hunt,standard_pg,0.22999999999999998,0.32,0,0.013733272018797494
basin,stag_hunt,standard_pg,0.22999999999999998,0.365,0,0.01387705291168341
basin,stag_hunt,standard_pg,0.22999999999999998,0.41,0,0.013144433855766665
basin,stag_hunt,standard_pg,0.22999999999999998,0.45499999999999996,0,0.013862023168137746
basin,stag_hunt,standard_pg,0.22999999999999998,0.49999999999999994,0,0.014239656322821204
basin,stag_hunt,standard_pg,0.22999999999999998,0.545,0,0.014465083405773366
basin,stag_hunt,standard_pg,0.22999999999999998,0.5900000000000001,0,0.015332347922845192
basin,stag_hunt,standard_pg,0.22999999999999998,0.635,0,0.014467290512495328
basin,stag_hunt,standard_pg,0.22999999999999998,0.68,0,0.01476661865917576
basin,stag_hunt,standard_pg,0.22999999999999998,0.725,0,0.015590177008991499
basin,stag_hunt,standard_pg,0.22999999999999998,0.77,0,0.015786928195055765
basin,stag_hunt,standard_pg,0.22999999999999998,0.8150000000000001,0,0.017235297370458768
basin,stag_hunt,standard_pg,0.22999999999999998,0.86,0,0.02794348858258367
basin,stag_hunt,standard_pg,0.22999999999999998,0.905,0,0.05108622946508837
basin,stag_hunt,standard_pg,0.22999999999999998,0.95,1,0.955437405977446
basin,stag_hunt,standard_pg,0.27499999999999997,0.05,0,0.01119841132728242
basin,stag_hunt,standard_pg,0.27499999999999997,0.095,0,0.011867679688209159
basin,stag_hunt,standard_pg,0.27499999999999997,0.14,0,0.012476611284618718
basin,stag_hunt,standard_pg,0.27499999999999997,0.185,0,0.013167253662281721
basin,stag_hunt,standard_pg,0.27499999999999997,0.22999999999999998,0,0.013681704904993755
basin,stag_hunt,standard_pg,0.27499999999999997,0.27499999999999997,0,0.013636893829248436
basin,stag_hunt,standard_pg,0.27499999999999997,0.32,0,0.013968751290497591
basin,stag_hunt,standard_pg,0.27499999999999997,0.365,0,0.013893967631582467
basin,stag_hunt,standard_pg,0.27499999999999997,0.41,0,0.013644810575788405
basin,stag_hunt,standard_pg,0.27499999999999997,0.45499999999999996,0,0.014622228906857384
basin,stag_hunt,standard_pg,0.27499999999999997,0.49999999999999994,0,0.014068564001007871
