label,method,schedule,seed,final_coop_min,second_half_coop_mean,second_half_coop_std,success,final_lambda
pg,standard_pg,constant,0,0.007047362471523038,0.009272596110511226,0.0016171858672210141,0,0.0
pg,standard_pg,constant,1,0.007963958118322347,0.010912776263460412,0.0021999895003887294,0,0.0
pg,standard_pg,constant,2,0.007590825438913821,0.010316631220135578,0.002009640725782541,0,0.0
pg,standard_pg,constant,3,0.007853342915205506,0.010760051678364272,0.0021602583767337718,0,0.0
pg,standard_pg,constant,4,0.9819266684166701,0.9740468251066097,0.005924674488125008,1,0.0
pg,standard_pg,constant,5,0.007317395064383182,0.009725419923938536,0.0017620291188955026,0,0.0
pg,standard_pg,constant,6,0.006974789334053306,0.009134204577787223,0.0015654598980085928,0,0.0
pg,standard_pg,constant,7,0.987033838616334,0.9839411389266893,0.0025359842037796297,1,0.0
pg,standard_pg,constant,8,0.9805205723964439,0.9708758374429819,0.007653307010709661,1,0.0
pg,standard_pg,constant,9,0.007388221030520524,0.009854339141320225,0.0017940402734184006,0,0.0
pg,standard_pg,constant,10,0.9832614614060176,0.9758966375512369,0.005751947673298715,1,0.0
pg,standard_pg,constant,11,0.006934044893218598,0.009092482690520322,0.0015451850803076168,0,0.0
pg,standard_pg,constant,12,0.9853347457875189,0.9802134592492728,0.0034588836006767543,1,0.0
pg,standard_pg,constant,13,0.9854597997574869,0.9820239807895597,0.0028698216330091167,1,0.0
pg,standard_pg,constant,14,0.006897797096621713,0.009019266084424942,0.0015471347099921613,0,0.0
pg,standard_pg,constant,15,0.984220949324532,0.9803841768981296,0.002850449820223708,1,0.0
pg,standard_pg,constant,16,0.007841832436778237,0.010747481940050175,0.002159310700865814,0,0.0
pg,standard_pg,constant,17,0.006493022082816381,0.008351235517496012,0.0013188845849912017,0,0.0
pg,standard_pg,constant,18,0.00690348241634758,0.009042088154940101,0.0015237582455724756,0,0.0
pg,standard_pg,constant,19,0.006196015267087469,0.007857357695827938,0.0011722872429538178,0,0.0
pg,standard_pg,constant,20,0.9786732768551802,0.967369946483754,0.009690946034630984,1,0.0
